Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-22,17:00:00,11919.19,11933.1,11906.42,11919.17,8376375,0
2017-03-22,18:00:00,11919.07,11925.56,11904.12,11904.12,36765837,0
2017-03-23,10:00:00,11901.73,11914.66,11897.24,11900,9268000,0
2017-03-23,11:00:00,11901.31,11929.01,11901.31,11920.93,6792020,0
2017-03-23,12:00:00,11920.78,11959.72,11916.42,11959.72,6666539,0
2017-03-23,13:00:00,11962.96,11962.96,11944.94,11947.32,6984948,0
2017-03-23,14:00:00,11947.28,11955.28,11932.07,11932.28,6219813,0
2017-03-23,15:00:00,11932.06,11952.16,11916.36,11946.97,7269523,0
2017-03-23,16:00:00,11949.39,12000.75,11945.26,11989.91,8555644,0
2017-03-23,17:00:00,11992.11,12034.31,11989.98,12021.29,10460469,0
2017-03-23,18:00:00,12020.51,12043.67,12020.03,12039.68,25118342,0
2017-03-24,10:00:00,12029.48,12052.08,12020.83,12028.88,11272253,0
2017-03-24,11:00:00,12029.74,12040.56,12026.42,12034.9,8217135,0
2017-03-24,12:00:00,12033.64,12034.27,12010.74,12013.78,5354784,0
2017-03-24,13:00:00,12012.88,12027.8,12010.42,12012.55,6164821,0
2017-03-24,14:00:00,12013.36,12035.65,12013.36,12031.11,12591832,0
2017-03-24,15:00:00,12030.67,12049.75,12028.25,12044.18,8482565,0
2017-03-24,16:00:00,12043.53,12082.05,12037.27,12078.35,8618746,0
2017-03-24,17:00:00,12078.81,12079.6,12060.82,12077.61,9491760,0
2017-03-24,18:00:00,12077.46,12080.51,12045.24,12064.27,25368988,0
2017-03-27,10:00:00,11957.65,11979.27,11934.28,11943.36,15519857,0
2017-03-27,11:00:00,11943.33,11987.63,11942.63,11964.66,8544601,0
2017-03-27,12:00:00,11964.78,11979.85,11956.43,11962.41,5374278,0
2017-03-27,13:00:00,11962.65,11985.92,11961.06,11982.66,4694979,0
2017-03-27,14:00:00,11982.52,11982.84,11962.33,11962.33,3915435,0
2017-03-27,15:00:00,11962.08,11963.39,11944.35,11945.38,4876318,0
2017-03-27,16:00:00,11930.17,11959.5,11916.27,11953.4,9375983,0
2017-03-27,17:00:00,11953.08,11982.08,11942.34,11982.08,8726616,0
2017-03-27,18:00:00,11982.13,11996.07,11971.69,11996.07,27929828,0
2017-03-28,10:00:00,12052.46,12073.24,12045.36,12066.43,11253341,0
2017-03-28,11:00:00,12066.7,12077.33,12054.87,12069,8978190,0
2017-03-28,12:00:00,12068.68,12074.49,12060.38,12072.81,6402001,0
2017-03-28,13:00:00,12073.22,12078.62,12063.44,12066.77,4963299,0
2017-03-28,14:00:00,12066.75,12069.14,12048.12,12057.24,4881335,0
2017-03-28,15:00:00,12057.12,12058.86,12046.79,12057.12,6547800,0
2017-03-28,16:00:00,12057.23,12079.49,12054.77,12064.12,8850647,0
2017-03-28,17:00:00,12066.79,12120.42,12066.71,12120.42,11181525,0
2017-03-28,18:00:00,12118.73,12158.51,12117.06,12149.42,32778125,0
2017-03-29,10:00:00,12202.19,12233.76,12202.19,12226.33,17544857,0
2017-03-29,11:00:00,12227.66,12229.44,12205.02,12209.43,10781236,0
2017-03-29,12:00:00,12210,12219.15,12196.22,12204.94,9520728,0
2017-03-29,13:00:00,12204.55,12204.55,12185.61,12194.02,6600554,0
2017-03-29,14:00:00,12194.12,12206.91,12181.09,12201.67,5683713,0
2017-03-29,15:00:00,12201.5,12214.01,12196.96,12209.72,8457405,0
2017-03-29,16:00:00,12209.15,12216.38,12187.74,12201.83,9372252,0
2017-03-29,17:00:00,12204.51,12209.82,12194.36,12200.98,10984138,0
2017-03-29,18:00:00,12201.82,12204.89,12192.2,12203,25434441,0
2017-03-30,10:00:00,12213.76,12231.86,12206.42,12230.82,11439563,0
2017-03-30,11:00:00,12230.15,12238.36,12216.94,12222.85,7201336,0
2017-03-30,12:00:00,12223.28,12225.48,12209.24,12219.66,7145676,0
2017-03-30,13:00:00,12219.8,12219.8,12209.58,12212.5,6312668,0
2017-03-30,14:00:00,12212.82,12215.9,12200.47,12214.42,5189305,0
2017-03-30,15:00:00,12214.58,12216.15,12203.58,12211.23,6886446,0
2017-03-30,16:00:00,12211.51,12229.74,12203.46,12228.39,8376831,0
2017-03-30,17:00:00,12228.03,12245.87,12224.98,12245.87,11861699,0
2017-03-30,18:00:00,12248.04,12257.5,12242.2,12257.5,6636109,0
2017-03-31,10:00:00,12244.99,12255.75,12235.05,12241.48,11174877,0
2017-03-31,11:00:00,12242.27,12250.07,12232.72,12240.98,6741348,0
2017-03-31,12:00:00,12241.85,12260.54,12238.25,12252.15,12048461,0
2017-03-31,13:00:00,12253.39,12256.28,12242.93,12244.78,5744791,0
2017-03-31,14:00:00,12244.5,12258.94,12243.51,12254.04,9622859,0
2017-03-31,15:00:00,12254.07,12267.15,12254.07,12255.93,7074415,0
2017-03-31,16:00:00,12256.62,12267.97,12242.26,12260.34,7038767,0
